1383,583
1388,573
1390,564
1390,552
1390,540
1390,531
1385,516
1371,516
1357,514
1345,514
1333,514
1319,514
1305,514
1293,514
1279,514
1267,521
1262,531
1253,535
1239,533
1227,531
1220,521
1213,512
1201,512
1187,512
1175,512
1163,512
1152,512
1144,521
1137,528
1126,531
1114,531
1102,526
1095,512
1085,512
1074,512
1059,512
1048,514
1036,514
1026,524
1017,528
1008,533
993,531
984,524
974,514
963,512
951,512
939,512
927,512
923,521
913,528
901,531
887,528
878,519
866,509
854,512
840,512
828,512
814,512
802,519
793,526
781,531
767,528
757,519
750,509
738,507
727,507
712,507
701,507
691,516
682,526
672,531
660,531
649,528
639,519
632,512
618,512
604,512
590,512
578,509
564,509
552,512
540,509
528,509
516,507
502,507
488,507
476,507
465,507
453,507
441,507
429,507
417,507
406,507
394,507
382,507
370,507
358,507
347,507
337,516
330,526
318,531
306,531
295,528
285,521
278,509
266,509
254,509
243,509
238,505
245,495
252,483
257,472
262,460
266,448
266,432
269,420
266,408
266,396
266,384
266,372
266,361
262,349
257,337
250,325
245,316
236,302
228,292
221,283
214,273
203,264
191,257
184,247
174,240
162,236
153,231
141,228
129,226
118,226
110,233
103,243
99,254
94,264
89,278
84,290
82,302
77,316
75,325
75,337
75,349
75,358
80,370
82,382
87,391
92,403
96,413
101,420
106,429
110,439
120,448
127,457
134,465
144,472
151,481
158,488
167,493
177,498
191,505
203,507
219,509
221,505
226,498
228,486
233,476
233,465
233,453
236,441
236,427
233,415
231,406
224,394
219,387
210,380
203,372
193,368
181,365
172,361
165,365
160,380
162,391
162,403
165,413
165,424
167,434
169,443
174,453
181,460
188,469
195,476
205,483
214,491
217,514
210,514
200,514
191,514
179,514
167,514
158,524
153,531
151,542
151,552
151,564
153,573
162,583
177,583
191,583
203,580
217,580
231,580
245,583
262,583
273,583
288,580
302,583
313,583
325,583
337,580
349,583
363,583
375,583
387,580
398,580
410,580
424,580
436,580
448,580
460,580
474,580
486,580
498,580
509,580
521,580
535,580
545,580
557,580
566,580
578,580
590,580
604,580
616,580
627,580
639,580
651,580
663,580
675,580
689,580
701,580
712,580
727,580
738,580
750,580
762,580
774,580
788,580
800,580
812,580
826,583
838,583
849,583
864,580
878,580
889,580
901,580
913,580
925,580
934,580
946,580
958,580
970,580
979,580
993,580
1008,580
1017,580
1029,580
1041,580
1052,578
1064,580
1076,580
1088,580
1100,580
1111,580
1123,583
1137,583
1149,583
1161,583
1173,580
1185,583
1196,583
1208,585
1222,583
1234,583
1248,583
1260,580
1272,583
1286,583
1298,583
1310,583
1321,583
1333,583
1345,583
1357,583
1366,583
1378,583
1383,580
165,585
169,578
174,568
177,554
177,542
177,533
172,524
169,516
165,514
